# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)
0	0.99246687	-2.5859013e-09	0	8.897734e-19	-3.120316e-20	0	1	100	1e-09
0	0.70109123	0.7010774	0	8.820568e-19	-3.1172224e-20	0.7853982	1	100	1e-09
0	0.99245393	-9.460602e-09	0	8.880121e-19	-3.1107484e-20	0	0.99	100	1e-09
0	0.7011523	0.701139	0	8.81274e-19	-3.1079764e-20	0.7853982	0.99	100	1e-09
0	0.99232733	-9.42133e-09	0	8.833287e-19	-3.091298e-20	0	0.98	100	1e-09
0	0.7013591	0.70134425	0	8.804851e-19	-3.0898453e-20	0.7853982	0.98	100	1e-09
0	0.9921759	-8.1158795e-09	0	8.806214e-19	-3.0844764e-20	0	0.97	100	1e-09
0	0.7014617	0.70144874	0	8.803489e-19	-3.083953e-20	0.7853982	0.97	100	1e-09
0	0.9921355	-9.982779e-09	0	8.790992e-19	-3.078001e-20	0	0.96	100	1e-09
0	0.70154023	0.7015291	0	8.802192e-19	-3.077952e-20	0.7853982	0.96	100	1e-09
0	0.99194866	-6.2559318e-09	0	8.730334e-19	-3.053615e-20	0	0.95	100	1e-09
0	0.7018619	0.7018454	0	8.797854e-19	-3.0555302e-20	0.7853982	0.95	100	1e-09
0	0.99193627	-6.644535e-09	0	8.712505e-19	-3.044054e-20	0	0.94	100	1e-09
0	0.7018516	0.7018338	0	8.78027e-19	-3.045954e-20	0.7853982	0.94	100	1e-09
0	0.9918945	-1.1358827e-08	0	8.697192e-19	-3.0375778e-20	0	0.93	100	1e-09
0	0.70192194	0.7019045	0	8.777947e-19	-3.039907e-20	0.7853982	0.93	100	1e-09
0	0.9918005	-5.12669e-09	0	8.641976e-19	-3.0119003e-20	0	0.92	100	1e-09
0	0.70222884	0.70221853	0	8.765403e-19	-3.015829e-20	0.7853982	0.92	100	1e-09
0	0.9917614	-9.179478e-09	0	8.626822e-19	-3.0054338e-20	0	0.91	100	1e-09
0	0.7022861	0.70227224	0	8.761578e-19	-3.009711e-20	0.7853982	0.91	100	1e-09
0	0.99184936	-1.0348466e-08	0	8.6282977e-19	-3.0009395e-20	0	0.9	100	1e-09
0	0.70235986	0.70234734	0	8.764438e-19	-3.005262e-20	0.7853982	0.9	100	1e-09
0	0.9915379	-5.443583e-09	0	8.541107e-19	-2.968268e-20	0	0.89	100	1e-09
0	0.70272166	0.70270634	0	8.746113e-19	-2.9750026e-20	0.7853982	0.89	100	1e-09
0	0.99153763	-5.0095297e-09	0	8.541108e-19	-2.968267e-20	0	0.88	100	1e-09
