# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)	Volume (m^3)
0	0.9890129	1.6646489e-08	0	7.112351e-19	-5.100142e-19	0	1	128	1e-09	6.446e-23
0	0.98850775	0.031185944	0	7.1118554e-19	-5.099948e-19	0.024543693	1	128	1e-09	6.446e-23
0	0.98698133	0.06279986	0	7.110377e-19	-5.099425e-19	0.049087387	1	128	1e-09	6.446e-23
0	0.98447174	0.09391656	0	7.107979e-19	-5.098597e-19	0.07363108	1	128	1e-09	6.446e-23
0	0.9810596	0.12423681	0	7.1047375e-19	-5.097564e-19	0.09817477	1	128	1e-09	6.446e-23
0	0.9768231	0.15369226	0	7.1007546e-19	-5.096416e-19	0.12271846	1	128	1e-09	6.446e-23
0	0.9718734	0.18206741	0	7.0961374e-19	-5.0952754e-19	0.14726216	1	128	1e-09	6.446e-23
0	0.96629095	0.20939073	0	7.0909986e-19	-5.0942094e-19	0.17180584	1	128	1e-09	6.446e-23
0	0.96013826	0.23573588	0	7.085444e-19	-5.0932643e-19	0.19634955	1	128	1e-09	6.446e-23
0	0.95345473	0.2612191	0	7.079572e-19	-5.0924496e-19	0.22089323	1	128	1e-09	6.446e-23
0	0.9463188	0.2857784	0	7.0734706e-19	-5.09181e-19	0.24543692	1	128	1e-09	6.446e-23
0	0.93871284	0.30965763	0	7.0672244e-19	-5.091301e-19	0.2699806	1	128	1e-09	6.446e-23
0	0.93071073	0.3327659	0	7.060909e-19	-5.090956e-19	0.2945243	1	128	1e-09	6.446e-23
0	0.9223624	0.35509962	0	7.0545897e-19	-5.090779e-19	0.319068	1	128	1e-09	6.446e-23
0	0.913568	0.37701282	0	7.048324e-19	-5.0906706e-19	0.3436117	1	128	1e-09	6.446e-23
0	0.90438926	0.39840707	0	7.0421654e-19	-5.090656e-19	0.3681554	1	128	1e-09	6.446e-23
0	0.8948868	0.41920817	0	7.0361627e-19	-5.09075e-19	0.3926991	1	128	1e-09	6.446e-23
0	0.8846979	0.4402048	0	7.0303486e-19	-5.090734e-19	0.41724277	1	128	1e-09	6.446e-23
0	0.87492067	0.45925036	0	7.02478e-19	-5.091174e-19	0.44178647	1	128	1e-09	6.446e-23
0	0.86402065	0.47936508	0	7.019464e-19	-5.091268e-19	0.46633017	1	128	1e-09	6.446e-23
0	0.85320437	0.49829677	0	7.01445e-19	-5.0915903e-19	0.49087384	1	128	1e-09	6.446e-23
0	0.84207016	0.5168329	0	7.009757e-19	-5.0919284e-19	0.5154175	1	128	1e-09	6.446e-23
0	0.83061475	0.5349993	0	7.0054045e-19	-5.09227e-19	0.5399612	1	128	1e-09	6.446e-23
0	0.81887347	0.5527601	0	7.001415e-19	-5.0926165e-19	0.5645049	1	128	1e-09	6.446e-23
0	0.80680484	0.570194	0	6.9978063e-19	-5.09294e-19	0.5890486	1	128	1e-09	6.446e-23
0	0.79444534	0.58726066	0	6.994589e-19	-5.093247e-19	0.6135923	1	128	1e-09	6.446e-23
0	0.7817693	0.6040062	0	6.9917777e-19	-5.0935213e-19	0.638136	1	128	1e-09	6.446e-23
0	0.7688043	0.6204032	0	6.9893836e-19	-5.093762e-19	0.6626797	1	128	1e-09	6.446e-23
